0,37,79,62,78,64,78,72,79,63,90,68,63,87,85,81,74,98,84,74,60,94,74,74,97,87,65,99,86,64,84,99,68,70,85,74,91,61,88,76,88,62,89,60,98,95,65,93,76,95,83,76,73,71,80,70,63,83,89,78,84,98,63,88,60,96,92,98,91,86,75,85,77,64,74,65,75,94,64,84,62,76,92,63,90,74,86,74,90,83,91,82,81,97,80,75,74,94,84,24
37,0,13,72,84,70,93,75,93,62,65,68,69,61,80,82,91,83,61,90,63,69,66,99,87,62,68,86,94,84,91,75,97,67,73,73,66,90,94,99,69,97,60,78,79,89,64,85,60,94,90,73,64,92,63,87,75,77,93,69,85,89,64,66,99,64,81,74,87,67,80,63,67,83,64,73,63,77,65,81,68,80,65,69,76,61,74,69,95,99,65,80,91,80,75,83,78,66,99,78
79,13,0,19,61,76,70,84,94,97,63,81,86,98,61,79,74,88,78,87,87,81,77,71,71,93,91,96,64,64,72,64,85,65,96,73,68,78,68,93,68,64,66,97,98,74,84,64,95,87,81,85,82,89,64,96,89,75,77,92,66,89,64,76,95,96,99,72,66,62,84,92,70,63,66,85,61,64,74,71,62,65,79,97,88,95,62,89,82,91,63,62,74,75,96,83,73,68,63,68
62,72,19,0,25,70,70,85,61,72,98,97,74,95,65,70,80,87,64,92,68,61,74,61,95,97,88,99,98,89,66,91,86,86,60,62,91,71,75,80,66,76,67,72,61,71,62,90,93,76,76,79,98,63,95,74,66,96,76,99,95,75,73,85,68,83,87,85,69,77,75,85,74,96,90,84,91,66,69,80,66,98,77,69,91,86,98,85,92,92,62,93,91,67,93,99,93,69,95,79
78,84,61,25,0,20,97,84,82,69,95,98,89,72,72,84,66,98,96,60,80,94,70,82,87,68,82,72,78,78,61,98,92,89,75,77,68,64,77,84,90,74,65,80,77,91,70,69,74,68,73,70,67,68,88,75,91,85,64,61,97,87,93,75,79,88,60,82,98,95,74,77,73,78,80,99,73,86,74,85,65,86,94,94,75,90,90,78,88,96,61,89,83,97,88,80,72,85,70,74
64,70,76,70,20,0,17,75,89,71,67,99,74,80,74,94,63,87,78,81,82,96,69,72,62,95,92,94,60,73,80,90,78,80,69,67,93,94,97,93,73,75,69,97,78,85,68,94,89,73,67,66,80,92,65,96,69,93,77,72,94,72,70,64,72,71,90,89,73,97,77,82,92,66,60,90,99,81,71,77,68,98,64,69,72,80,99,83,74,92,88,67,90,97,94,98,93,88,72,84
78,93,70,70,97,17,0,13,91,75,88,71,83,76,88,98,78,88,74,63,87,73,65,63,63,99,62,82,67,74,60,84,90,95,76,69,76,82,84,68,78,70,67,66,93,90,76,84,70,87,81,62,70,94,78,76,73,77,61,60,94,94,74,92,80,99,88,92,76,73,83,88,90,77,98,64,65,65,80,76,79,61,68,76,90,81,94,95,92,95,76,99,78,99,60,63,62,86,91,81
72,75,84,85,84,75,13,0,17,78,79,63,72,81,83,74,97,94,92,99,76,63,84,96,61,60,65,86,61,84,99,72,74,75,95,90,88,63,93,71,74,63,85,63,97,92,91,72,71,73,79,78,81,87,89,98,99,71,86,70,60,64,70,62,76,79,80,68,91,73,75,93,81,65,60,86,69,61,87,66,78,65,86,62,67,83,73,94,72,64,91,96,96,63,86,75,81,90,91,79
79,93,94,61,82,89,91,17,0,20,99,73,75,95,60,65,71,77,76,93,62,93,69,64,96,77,99,72,78,78,63,95,86,64,84,93,90,94,63,85,69,72,84,77,73,90,86,97,73,83,97,93,74,61,81,73,62,73,75,70,97,93,81,72,68,72,78,69,72,94,75,78,99,88,95,62,70,68,89,99,98,88,92,60,65,72,89,93,93,72,86,69,99,67,62,87,85,65,91,64
63,62,97,72,69,71,75,78,20,0,24,97,85,69,82,68,88,98,60,76,64,60,62,86,74,79,99,67,76,84,76,88,74,91,62,76,60,88,87,90,98,77,99,68,60,77,86,96,88,83,72,85,84,79,78,89,94,72,61,72,65,98,83,96,74,75,63,75,76,88,98,98,92,80,99,77,68,87,98,77,96,80,77,68,99,87,80,98,98,62,70,84,68,79,95,72,83,92,65,68
90,65,63,98,95,67,88,79,99,24,0,12,98,87,72,96,74,76,72,72,64,66,65,88,60,66,95,68,97,90,73,64,80,98,88,76,75,93,94,67,64,89,89,99,95,81,86,71,90,85,99,82,85,80,86,61,64,99,78,95,99,61,79,74,86,84,79,60,97,83,86,92,82,61,63,92,89,90,93,71,70,77,93,81,84,78,93,97,86,86,78,99,87,84,78,76,60,94,61,62
68,68,81,97,98,99,71,63,73,97,12,0,20,84,97,68,99,79,90,92,72,81,88,89,85,67,78,85,91,84,81,63,94,91,74,95,65,90,98,91,97,91,90,98,88,97,64,61,74,85,89,61,67,86,71,72,76,62,95,91,78,96,66,96,95,96,91,83,88,78,80,78,84,78,89,72,71,72,74,60,81,73,98,83,97,74,73,65,90,99,66,69,91,62,99,86,93,87,66,67
